total leaf samples: 4736
   samples    self%  frame
         2    0.04%  <alloc::vec::Vec<libc::unix::linux_like::epoll_event>>::set_len
         2    0.04%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::TimestampMicrosecondType> as core::convert::From<arrow_data::data::ArrayData>>::from
         2    0.04%  <std::sys::pal::unix::time::Timespec>::sub_timespec
         2    0.04%  <arrow_buffer::builder::null::NullBufferBuilder>::append_null
         2    0.04%  <arrow_buffer::buffer::mutable::MutableBuffer as core::default::Default>::default
         2    0.04%  tokio::time::clock::now
         2    0.04%  <dashmap::DashMap<alloc::string::String, logthing::stats::SourceBuckets> as dashmap::t::Map<alloc::string::String, logthing::stats::SourceBuckets, std::hash::random::RandomState>>::_entry
         2    0.04%  <alloc::string::String as core::fmt::Write>::write_str
         2    0.04%  <u8 as core::slice::cmp::SliceOrd>::compare
         2    0.04%  <tokio::util::linked_list::LinkedList<tokio::sync::notify::Waiter, tokio::sync::notify::Waiter>>::remove
         2    0.04%  arrow_select::concat::concat_fallback
         2    0.04%  core::sync::atomic::atomic_sub::<u32, u32>
         2    0.04%  arrow_select::interleave::interleave_fallback::{closure#0}
         2    0.04%  <tokio::runtime::io::scheduled_io::ScheduledIo>::wake
         2    0.04%  <core::option::Option<tokio::runtime::time::handle::Handle>>::as_ref
         2    0.04%  <core::slice::iter::Iter<ipnet::ipnet::IpNet> as core::iter::traits::iterator::Iterator>::any::<<logthing::middleware::IpWhitelist>::is_allowed::{closure#0}>
         2    0.04%  <logthing::forwarding::buffered_writer::PartitionedParquetWriter<logthing::forwarding::ipfix_s3::IpfixSink>>::try_flush_partition_async
         2    0.04%  core::ptr::drop_glue::<tokio::sync::notify::Notified>
         2    0.04%  <usize>::checked_add
         2    0.04%  <tokio::runtime::time::source::TimeSource>::now
         2    0.04%  <core::ops::range::Range<u32> as core::iter::range::RangeIteratorImpl>::spec_next
         2    0.04%  <alloc::raw_vec::RawVecInner>::grow_amortized
         2    0.04%  <core::ptr::non_null::NonNull<u8>>::new
         2    0.04%  <arrow_data::transform::MutableArrayData>::with_capacities
         2    0.04%  <tokio::io::ready::Ready>::from_mio
         2    0.04%  <tokio::task::coop::Budget>::has_remaining
         2    0.04%  <core::hash::sip::Hasher<core::hash::sip::Sip13Rounds>>::reset
         2    0.04%  tokio::runtime::task::waker::drop_waker
         2    0.04%  <chrono::offset::utc::Utc>::now
         2    0.04%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::UInt64Type>>::finish
         1    0.02%  <alloc::sync::Arc<arrow_schema::field::Field> as core::ops::drop::Drop>::drop
         1    0.02%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt16Type> as core::convert::From<arrow_data::data::ArrayData>>::from
         1    0.02%  arrow_buffer::util::bit_util::ceil
         1    0.02%  <tokio::task::join_set::JoinSet<logthing::forwarding::buffered_writer::FlushOutcome>>::poll_join_next
         1    0.02%  <tokio::runtime::task::raw::RawTask>::poll
         1    0.02%  <core::option::Option<arrow_buffer::builder::boolean::BooleanBufferBuilder>>::as_mut
         1    0.02%  __munmap
         1    0.02%  core::ptr::drop_glue::<<logthing::forwarding::buffered_writer::ParquetWriterHandle<logthing::forwarding::ipfix_s3::IpfixSink> as logthing::ipfix::listener::IpfixHandler>::handle_flows::{closure#0}>
         1    0.02%  <tokio::runtime::task::state::State>::transition_to_running
         1    0.02%  <tokio::sync::mpsc::list::Rx<alloc::vec::Vec<logthing::ipfix::FlowRecord>>>::try_advancing_head
         1    0.02%  <arrow_data::data::ArrayData>::buffer::<u8>
         1    0.02%  core::ptr::drop_glue::<core::option::Option<arrow_buffer::buffer::null::NullBuffer>>
         1    0.02%  <alloc::raw_vec::RawVec<arrow_buffer::buffer::immutable::Buffer>>::grow_one
         1    0.02%  <alloc::sync::Weak<dyn arrow_array::array::Array, &alloc::alloc::Global>>::inner
         1    0.02%  <usize>::overflowing_mul
         1    0.02%  arrow_data::transform::build_extend
         1    0.02%  <tokio::runtime::scheduler::multi_thread::worker::Core>::steal_work
         1    0.02%  <arrow_array::array::byte_array::GenericByteArray<arrow_array::types::GenericStringType<i32>> as core::convert::From<arrow_data::data::ArrayData>>::from
         1    0.02%  core::ptr::drop_glue::<parquet::column::page::Page>
         1    0.02%  <hashbrown::control::tag::Tag>::full
         1    0.02%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::UInt64Type>>::append_null
         1    0.02%  <logthing::forwarding::ipfix_s3::IpfixSink as logthing::forwarding::buffered_writer::ParquetSink>::day_and_batch
         1    0.02%  tokio::macros::support::thread_rng_n
         1    0.02%  core::intrinsics::unlikely
         1    0.02%  ahash::operations::folded_multiply
         1    0.02%  <core::result::Result<core::time::Duration, core::time::Duration>>::map_err::<std::time::SystemTimeError, std::time::SystemTimeError>
         1    0.02%  <dyn core::any::Any>::is::<arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::TimestampMicrosecondType>>
         1    0.02%  <tokio::sync::notify::AtomicNotification>::load
         1    0.02%  logthing::forwarding::buffered_writer::day_from_batch::{closure#0}
         1    0.02%  <tokio::runtime::scheduler::multi_thread::worker::Context>::reset_lifo_enabled
         1    0.02%  <arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::TimestampMicrosecondType> as core::any::Any>::type_id
         1    0.02%  <tokio::runtime::task::state::State>::transition_to_notified_by_val
         1    0.02%  <tokio::time::interval::Interval>::poll_tick
         1    0.02%  core::ptr::drop_glue::<serde_json::value::Value>
         1    0.02%  <alloc::vec::Vec<arrow_buffer::buffer::immutable::Buffer>>::push_mut
         1    0.02%  <tokio::sync::mpsc::bounded::Sender<alloc::vec::Vec<logthing::ipfix::FlowRecord>>>::try_send
         1    0.02%  <hashbrown::map::HashMap<logthing::forwarding::buffered_writer::BufKey, logthing::forwarding::buffered_writer::PartitionBuffer<alloc::vec::Vec<logthing::ipfix::FlowRecord>>, std::hash::random::RandomState>>::get_mut::<logthing::forwarding::buffered_writer::BufKey>
         1    0.02%  core::mem::take::<arrow_buffer::buffer::mutable::MutableBuffer>
         1    0.02%  <tokio::runtime::scheduler::multi_thread::worker::Context>::run
         1    0.02%  <core::ptr::non_null::NonNull<alloc::sync::ArcInner<dashmap::DashMap<alloc::string::String, logthing::stats::SourceBuckets>>>>::as_ref
         1    0.02%  <hashbrown::table::Entry<u64>>::or_insert_with::<<parquet::util::interner::Interner<parquet::arrow::arrow_writer::byte_array::ByteArrayStorage>>::intern::{closure#2}>
         1    0.02%  <parquet::column::writer::GenericColumnWriter<parquet::column::writer::encoder::ColumnValueEncoderImpl<parquet::data_type::Int32Type>>>::write_mini_batch
         1    0.02%  <alloc::sync::Arc<arrow_buffer::bytes::Bytes>>::new
         1    0.02%  <alloc::boxed::Box<dyn for<'a, 'b> core::ops::function::Fn<(&'a mut arrow_data::transform::_MutableArrayData<'b>, usize, usize), Output = ()>> as core::ops::function::Fn<(&mut arrow_data::transform::_MutableArrayData, usize, usize)>>::call
         1    0.02%  core::mem::replace::<arrow_buffer::buffer::mutable::MutableBuffer>
         1    0.02%  core::ptr::drop_glue::<[arrow_buffer::buffer::immutable::Buffer]>
         1    0.02%  core::sync::atomic::atomic_store::<u32>
         1    0.02%  <core::task::wake::Waker as core::clone::Clone>::clone
         1    0.02%  <std::io::buffered::bufwriter::BufWriter<&mut alloc::vec::Vec<u8>>>::spare_capacity
         1    0.02%  <arrow_data::data::ArrayData as core::convert::From<arrow_array::array::primitive_array::PrimitiveArray<arrow_array::types::UInt32Type>>>::from
         1    0.02%  <arrow_buffer::buffer::immutable::Buffer>::slice_with_length
         1    0.02%  <arrow_array::builder::primitive_builder::PrimitiveBuilder<arrow_array::types::UInt16Type>>::with_capacity
         1    0.02%  <arrow_data::data::ArrayDataBuilder>::build_unchecked
         1    0.02%  <core::mem::alignment::Alignment>::max
         1    0.02%  serde_json::ser::to_vec::<serde_json::value::Value>
         1    0.02%  <tokio::runtime::io::registration::Registration>::readiness::{closure#0}
         1    0.02%  <tokio::runtime::scheduler::multi_thread::handle::Handle>::schedule_local
         1    0.02%  <arrow_buffer::builder::null::NullBufferBuilder>::append_non_null
         1    0.02%  <arrow_buffer::buffer::mutable::MutableBuffer>::resize
         1    0.02%  <alloc::raw_vec::RawVecInner>::non_null::<arrow_data::data::ArrayData>
